text	label
its is left to be seen if delta people will be annoyed at their politicians for throwing away £m to protect man lets see if they will chide their govt for the loss or as usual attack buhari or fulani as usual for their loss then wed know if they truly deserve d money	negative
hausa language still remains the most populous language spoken by nearly half of the inhabitants of west african sub region its the second widely spoken language in africa next to swahili fulani i think is the third most spoken language in africa	negative
bokoharam herdsmen etc their days are all gone will soon pass too	negative
you didnt do jack i said prove and youre telling me you did your research what does the research point to who is asking you if youre a yoruba or fulani man thats immaterial that insinuation is for the po supporters not me	negative
not a sector can boldly say this is one good thing buhari has done well i think you were voted in so nigerians can learn and wakeup i just hope it wont be too late for us cause its likely this buhari will turn everything upside down fulani igboho bandits yorubas	negative
seriki fulani i am always scared till now when i heard the name sunday igboho	negative
people come from a tribe you can be critical of choices its unfair to call out yoruba hausa fulani or igbo when a whole may or may not be conscious of why they are being judged	negative
because america is hospitable d whole world is going there to buy into it also because lagos is hospitable the whole world including igbo are coming to buy into it remember d biggest refinery is now in lagos own by fulani man who is buying into ur own land	negative
pls stop this herdsmen youve been talking were you at the church to made you believe its herdsmen why not wait and let security investigate it	negative
dont mind this fulani man	negative
where are the arewa youth when the soldiers are escorting fulani herdsmen to ogun state to harass and molest people in their homes where are they now this marriage cannot work lets stop deceiving ourselves	positive
you are wrong sunday igboho only asked fulani killer herdsmen to stop killing our people on their farms though there are colorations of secession in his demands i didnt see a crime in that	negative
abeg can someone make this make sense to me how them take they arrest cow now where d hand cups naija dey automatic cruise	negative
suspected herdsmen kidnap two absu lecturers	negative
what do you expect of a man that works for leaders that behaves like cows keyamo himself is a cow	positive
the atyap fulani and hausa communities in zangonkataf local government area of kaduna state on saturday held a successful peace and reconciliation summit participants in the summit condemned the killings and destruction that have occurred and resolved	negative
d fulanisationislamisation rhetoric is a ruse its a disguise of their frustration with apc they will vote a fulani moslem from pdp tomorrow apc is their nemesis they demoniseattack fulani herders and call for boycott of beef while eating suya with trophy	positive
so after all the ordeals you and yours passed through in the hands of fulani mauruders youre still supporting another fulani man to become the president you see why i find it hard to sympathize with people who do not learn from their past cry cry baby	positive
gaskiya yanzu kam na yarda you are a pro to some naga she is sooo convinced about it anyways ive got some new fulani words to teach you interested	negative
absolutely right yes not all herdsmen are criminals but we must be able to account for all residents in our forests where by the way most of these crimes take place	negative
im waiting to see where you call fulani herdsmen terrorists	negative
if we had guns as citizens in nigeria boko haram and fulani herdsmen wont have been able to carry out their current genocide	negative
just posted a photo lagos island	negative
abaribe that went to bail mazi kanu has suddenly jumped to support a fulani atiku without protesting the south east should be given pdp ticket	negative
u think nigeria have the moral right to advice it citizen abt danger in a foreign country even if we want citizen to come back home bcos of danger over there where do you want them to come to to come back and face bh banditsfulani herdmen or another level of police brutality	negative
my disappointment as a nigerian continuesly increasing daily as a fulani nigerian soldiers guilding chinese in lagos broke a bus drivers whole front screenside mirrors and equally burst both tyres reasonwhy should passenger talk in the moving bus	negative
god bless u man u just say my mind this people will just let victims of go in vain we never learn anything ooni that have been hearing fulani killing rapping and kidnapping people that did nothing significantly about it now someone challenged him	negative
did a quick summary of the average occupancy rate of the knight towers project and the attached breakdown flier says it all cash back guaranteed like never before dm before it get sold bbnaija tinubu igbo fulani nigerians ipob	negative
hi and good evening i dont know how to get this out in the world with our great artists nigerian music industry i mean the happenings in our societies is not captured in their music theme the kidnaping killings attacks fulani herbmens bandits injustice	negative
when a fulani man tell u the place ur going isnt far dont believe him because u will end up walking twice the distance	negative
na fulani go answer this one	negative
this is how they roll quite frankly they dont give a damn every security position must be occupied by a or a all of you sophisticated morons grammarians and multipurpose efulefus from the south yapping about one nigeria your shame is shaming me	positive
some politicians know d truth behind the herdsmen migration down south but choose to add tribal religious n ethnic colours to it for their selfish political gains while orders are plainly ignorant of d effect of global warming in forced migration	negative
dont follow the herd you may be mistaken for a cow	positive
fulani herdsmen soldiers kill militia herders in benue nasarawa taraba	negative
unrepentant fulani slave and worse still its mental slavery which is almost incurable	positive
i tweeted earlier today that there will be resistance from the northern forces against the decision of akeredolu to ban herdsmen in ondo state this evening garba shehu faulted the ban on behalf of the presidency this is the time for the yoruba nation to stand united in voice	negative
so bola tinubu have money to donate when people were killed in igangan he do nothing when people were killed in in his own state he was saying we should ask those people questions haba yoruba fulani amotekun kogi	negative
can you please explain how youre fulaniondo im one funny fulani too tho	negative
livestock technology and the connected cow everything in the digital age is connected including farming and agriculture livestock technology can enhance or improve the productivity capacity welfare or management of animals and livestock	negative
this must be some governors people hiding under the fulani group tag for their selfish interest	negative
they should go to zambisa forest crazy people or they should go after the fulani herdmen	positive
this is a lie a dangerous one tiv militia are disguising as herdsmen to kill and terrorize their own communities in benue some have been apprehended stop spreading fake news	negative
and a lot of this shit has been done here in the name of fulani until we stop inciting violence and start investigating the real perpetrators of evil crime nigeria is far away from unity	negative
the youth is probably fulani and has taken the job of a more decent betterqualified person so boo hoo	negative
how long will we continue being cruelly killed for simply refusing to surrender our farms for fulani cattle to feed on what is our crime that our cries no matter how loud wont be heard more than were killed today how many tomorrow	negative
who is pointing a knife to a moron and senseless idiot like you i am from abia state i am angry at the wanton killings perpetrated by enemies of nigeria the fulani herdsmen etc i only said let lobe lead because even the bible asked us to love our enemies the next response	positive
this deadly fulani terrorist gunment could smuggle in a boko haram leader camouflagehim with reality face surgery mask to commence catastrophic war in africa threat to millions of african lives childish thuggery in aso rock abuja puts all in grave danger	positive
in nigeria today buhari is wasting nigeria resources to ensure his people fulanis has home in every state in nigeria still southern politicians see nothing wrong on his quest	positive
ka xama dan fulani kawai	negative
well i always thought those ones were imported by cuts not the whole damn cow live	negative
are you surprised nah cash cow for most of them now	negative
to fight insurgent boko haram herdsmen and bandits no head way but for protesters they now have muscle what shame	negative
the ibo should respect the hausa the yoruba should respect the fulani the berom should respect the jarawa and at the same time thepolitician should respect his constutuency the popicemen should respect the suspect etc just respect	negative
lastly though not mentioned in the video as did the caption is the use of north and hausafulani interchangeably whilst hausa is the major language in the north other diverse tribes exist that blend in it	negative
till now no single arrest and justice the victims were left at the mercy of the fulani herdsmen in their own homes and farms we cant continue like this	negative
seniorman na my herdsmen i no fit need anything psalm	negative
herdsmen gov of ondo state has sent an executive bill to regulate rearing and grazing of livestock and for establishment of ranches to according to a source in the house debate will commence on the bill next week what are your expectations	negative
i think the hatred for buhari for having the audacity to defeat your beloved hero has also been taken to a whole new level and has been extended to d entire fulani race the ethnic suspicion has always been there but has been pushed to the front burner now we all need to do better	negative
ive seen pictures of him with the fulani group this morning	negative
i hope when the northern hausa fulanis start chasing out the southerners nobody will talk animals well never know redemption or salvation in this country till we learn to love eachoda as nigerians first before anything else this is just unnecessary	positive
chelsea must win i want to eat that chelsea cow being paraded on naija street	negative
this one na lie sha unless say na specifically fulani wey carry cow go there	negative
imagine dating a girl that can kill cow	negative
do some people believe ortom was attacked by herdsmen	negative
herdsmen in ebonyi bandits in niger	negative
a particular fulani warlord that put there	negative
